Ticket ID,Type,Title,Internal Description,Customer Impact,Affected User,Status,Release,Notes for Writer
DP-2401,New feature,Add folders for saved replies,Agents can now create folders to organise saved replies. Folders appear in the saved replies panel and can be managed from the Saved Replies settings page. Existing saved replies remain uncategorised until moved into folders.,"Support agents can organise approved replies by topic, team, or workflow, making common responses easier to find during ticket handling.",Support agents; support team leads,Ready for release,DeskPilot 2.4,"Include in release notes. Update saved replies help article with steps for creating, renaming, moving, and deleting folders. Mention that existing replies are not automatically sorted."
DP-2402,New feature,Add activity timeline to customer profiles,"Customer profiles now include a chronological activity timeline showing recent tickets, internal notes, status changes, account updates, and key support events. Timeline data is read-only in this release.","Agents can understand recent customer history before replying, reducing context switching and repeated questions.",Support agents; support team leads,Ready for release,DeskPilot 2.4,Include in release notes. Update customer profile documentation. Clarify which activity types are included and that the timeline is read-only.
DP-2403,Improvement,Improve ticket search performance,"Search indexing has been optimised for ticket ID, customer name, email address, and keyword searches. Internal testing shows faster results for workspaces with more than 100,000 tickets.","Agents should spend less time waiting for search results, especially in larger workspaces.",Support agents,Ready for release,DeskPilot 2.4,Include as an improvement. Avoid exact performance claims unless verified. Consider wording such as “search results now load faster”.
DP-2404,Improvement,Reorganise ticket details panel,"The ticket details panel has been redesigned. Priority, status, assignee, tags, customer plan, and SLA due time are now grouped into clearer sections. Some fields have moved but no ticket data has changed.",Agents can scan important ticket information more quickly when triaging or responding to requests.,Support agents,Ready for release,DeskPilot 2.4,Include in release notes. Update ticket management article and screenshots. Mention that some fields have moved.
DP-2405,Improvement,Add first response time filter to reports,"Reporting now includes a first response time filter. Team leads can filter report data by response time ranges to identify queues, teams, or ticket types with delayed first responses.",Managers can more easily monitor support performance and identify areas needing attention.,Support team leads,Ready for release,DeskPilot 2.4,Include in release notes. Update reporting help article. Explain where the filter appears and what it measures.
DP-2406,Bug fix,Fix SLA due time timezone display,"SLA due times previously used the agent browser timezone in some views. SLA due times now display according to the workspace timezone across ticket lists, ticket details, and reports.","Distributed teams should see consistent SLA due times, reducing confusion around response deadlines.",Support agents; support team leads,Ready for release,DeskPilot 2.4,"Include in fixes. Update SLA article if timezone behaviour is documented. Be clear that this is a display fix, not a change to SLA calculation rules."
DP-2407,Bug fix,Prevent duplicate tags after ticket merge,Merging tickets could sometimes display duplicate tags on the merged ticket record. Duplicate tags are now removed during the merge process.,Ticket records stay cleaner and easier to scan after related customer requests are merged.,Support agents,Ready for release,DeskPilot 2.4,Include as a brief fix. Probably no KB update unless merge behaviour is documented.
DP-2408,Bug fix,Keep bullet spacing in inserted saved replies,Saved replies containing bullet lists sometimes lost spacing when inserted into ticket replies. Formatting is now preserved when saved replies are added to a response.,Agents no longer need to manually fix bullet formatting before sending common responses.,Support agents,Ready for release,DeskPilot 2.4,Include in fixes. Connects to saved replies but should not be presented as part of the new folder feature.
DP-2409,Admin/security update,Add separate permission for automation management,"A new “Manage automations” permission allows admins to give selected users access to create, edit, pause, and delete automation rules without granting full workspace settings access. Existing admins keep their current access.",Admins can delegate automation management more safely and avoid giving broader settings access than needed.,Workspace admins,Ready for release,DeskPilot 2.4,Include prominently. Update permissions and automation documentation. Mention that existing admin access is unchanged.
DP-2410,Known issue,Large CSV exports may be delayed during peak usage,"CSV exports with more than 50,000 rows may take several minutes to generate during peak usage. The export completes in the background and users can continue working while it processes.",Admins and team leads may need to allow extra time for large exports. Setting expectations may reduce support tickets.,Workspace admins; support team leads,Known issue,DeskPilot 2.4,Include in known issues. Consider adding a note to reporting/export documentation. Do not frame as a fix.
